,AIRPORT
208,Monroe Regional Airport
209,Mammoth Yosemite Airport
210,Mobile Regional Airport
211,Minot International Airport
212,Sawyer International Airport
213,Monterey Regional Airport (Monterey Peninsula Airport)
214,Dane County Regional Airport
215,Missoula International Airport
216,Minneapolis-Saint Paul International Airport
217,Louis Armstrong New Orleans International Airport
218,Montrose Regional Airport
219,Martha's Vineyard Airport
220,Myrtle Beach International Airport
221,Albert J. Ellis Airport
222,Oakland International Airport
223,Kahului Airport
224,Will Rogers World Airport
225,Eppley Airfield
226,Nome Airport
227,Ontario International Airport
228,Chicago O'Hare International Airport
229,Norfolk International Airport
230,Worcester Regional Airport
231,Southwest Oregon Regional Airport (North Bend Municipal)
232,Ralph Wien Memorial Airport
233,Barkley Regional Airport
234,Plattsburgh International Airport
235,Palm Beach International Airport
236,Portland International Airport
237,Newport News/Williamsburg International Airport
238,Philadelphia International Airport
239,Phoenix Sky Harbor International Airport
240,General Wayne A. Downing Peoria International Airport
241,Hattiesburg-Laurel Regional Airport
242,Pocatello Regional Airport
243,Pittsburgh International Airport
244,Pellston Regional Airport of Emmet County
245,Pensacola International Airport (Pensacola Gulf Coast Regional Airport)
246,Pago Pago International Airport (Tafuna Airport)
247,Tri-Cities Airport
248,Mercedita Airport
249,Petersburg James A. Johnson Airport
250,Palm Springs International Airport
251,Pueblo Memorial Airport
252,Theodore Francis Green State Airport
253,Portland International Jetport
254,Rapid City Regional Airport
255,Redding Municipal Airport
256,Redmond Municipal Airport (Roberts Field)
257,Raleigh-Durham International Airport
258,Rhinelander-Oneida County Airport
259,Richmond International Airport
260,Rock Springs-Sweetwater County Airport
261,Reno/Tahoe International Airport
262,Roanoke Regional Airport (Woodrum Field)
263,Greater Rochester International Airport
264,Roswell International Air Center
265,Rochester International Airport
266,Southwest Florida International Airport
267,Santa Fe Municipal Airport
268,San Diego International Airport (Lindbergh Field)
269,San Antonio International Airport
270,Savannah/Hilton Head International Airport
271,Santa Barbara Municipal Airport (Santa Barbara Airport)
272,South Bend International Airport (South Bend Regional)
273,San Luis Obispo County Regional Airport (McChesney Field)
274,Deadhorse Airport (Prudhoe Bay Airport)
275,University Park Airport
276,Louisville International Airport (Standiford Field)
277,Seattle-Tacoma International Airport
278,San Francisco International Airport
279,Springfield-Branson National Airport
280,St. George Regional Airport
281,Shreveport Regional Airport
282,Sitka Rocky Gutierrez Airport
283,Norman Y. Mineta San José International Airport
284,San Angelo Regional Airport (Mathis Field)
285,Luis Muñoz Marín International Airport
286,Salt Lake City International Airport
287,Sacramento International Airport
288,Santa Maria Public Airport (Capt G. Allan Hancock Field)
289,John Wayne Airport (Orange County Airport)
290,Abraham Lincoln Capital Airport
291,Wichita Falls Municipal Airport/Sheppard AFB
292,Sarasota-Bradenton International Airport
293,St. Cloud Regional Airport
294,St. Louis International Airport at Lambert Field
295,Cyril E. King Airport
296,Henry E. Rohlsen Airport
297,Friedman Memorial Airport
298,Sioux Gateway Airport
299,Stewart International Airport
300,Syracuse Hancock International Airport
301,Tallahassee International Airport
302,Toledo Express Airport
303,Tampa International Airport
304,Tri-Cities Regional Airport
305,Trenton Mercer Airport
306,Tulsa International Airport
307,Tucson International Airport
308,Cherry Capital Airport
309,Magic Valley Regional Airport (Joslin Field)
310,Texarkana Regional Airport (Webb Field)
311,Tyler Pounds Regional Airport
312,McGhee Tyson Airport
313,Northeast Florida Regional Airport (St. Augustine Airport)
314,Valdez Airport
315,Valdosta Regional Airport
316,Destin-Fort Walton Beach Airport/Eglin AFB
317,Wrangell Airport
318,Westerly State Airport
319,Northwest Arkansas Regional Airport
320,Yakutat Airport
321,Yuma International Airport
